"Артикул","Тип","Имя","Короткое описание","Опубликован","Видимость в каталоге","В наличии?","Запасы","Базовая цена","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить обзоры от клиентов?","Изображения","Категории","Метки","Имя атрибута 2","Значение(-я) аттрибута(-ов) 2"
244990,simple,"ДИНОЗАВР, ХОДИТ, ДВИГ","ДИНОЗАВР, ХОДИТ, ДВИГАЕТ ГОЛОВОЙ",1,visible,1,1,1316,15,32,34,1,http://img.simba-trade.ru/site1/244990_c.jpg,"Животные","Радиоуправляемые, Со светом, Со звуком, Ходит",пол,"Для девочек, Для мальчиков"
244722,simple,"ПИСТОЛЕТ","ПИСТОЛЕТ (П) С ГЛУШИТЕЛЕМ M93-16",1,visible,1,1,295,5,43,16,1,http://img.simba-trade.ru/site1/244722_c.jpg,"Оружие","",пол,"Для мальчиков"
220352,simple,"ЗЕРКАЛО, С АКСЕСС.","ЗЕРКАЛО, С АКСЕСС.",1,visible,1,1,914,39,43,26,1,http://img.simba-trade.ru/site1/220352_c.jpg,"Другое","На батарейках, Со светом, Со звуком",пол,"Для девочек"
245561,simple,"МАШИНА ИНЕРЦ. ДЖИП С ВЕРТОЛЕТОМ НА ПРИЦЕПЕ 204A-2","МАШИНА ИНЕРЦ. ДЖИП С ВЕРТОЛЕТОМ НА ПРИЦЕПЕ 204A-2",1,visible,1,1,324,16,42,16,1,http://img.simba-trade.ru/site1/245561_c.jpg,"Машинки","",пол,"Для мальчиков"
247832,simple,"ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' ДЛИНА ПОЛОТНА 188СМ","ЖЕЛЕЗНАЯ ДОРОГА 'ИГРАЕМ ВМЕСТЕ' ДЛИНА ПОЛОТНА 188СМ",1,visible,1,1,202,4,25,25,1,http://img.simba-trade.ru/site1/247832_c.jpg,"Железные дороги","На батарейках",пол,"Для мальчиков"
248004,simple,"ПИСТОЛЕТ (П) ЧЕРНЫЙ С ГЛУШИТЕЛЕМ","ПИСТОЛЕТ (П) ЧЕРНЫЙ С ГЛУШИТЕЛЕМ, С ПУЛЬКАМИ 669-1 В ПАК.",1,visible,1,1,131,3,19,14,1,http://img.simba-trade.ru/site1/248004_c.jpg,"Оружие","",пол,"Для мальчиков"
227867,simple,"РОБОТ, ХОДИТ","РОБОТ, ХОДИТ",1,visible,1,1,523,11,28,20,1,http://img.simba-trade.ru/site1/227867_c.jpg,"Роботы","На батарейках, Со светом, Со звуком, Ходит",пол,"Для мальчиков"
247833,simple,"РОБОТ-МАШИНА ПОЛИЦИЯ  1201","РОБОТ-МАШИНА ПОЛИЦИЯ  1201",1,visible,1,1,521,13,26,12,1,http://img.simba-trade.ru/site1/247833_c.jpg,"Машинки","На батарейках, Со светом, Со звуком",пол,"Для мальчиков"
247898,simple,"ДЖИП","ДЖИП",1,visible,1,1,940,17,34,17,1,http://img.simba-trade.ru/site1/247898_c.jpg,"Машинки, Джипы","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
247894,simple,"КУКЛА 29СМ С НАБОРОМ ОДЕЖДЫ И АКСЕСС.","КУКЛА 29СМ С НАБОРОМ ОДЕЖДЫ И АКСЕСС.",1,visible,1,1,155,5,26,33,1,http://img.simba-trade.ru/site1/247894_c.jpg,"Куклы","",пол,"Для девочек"
247897,simple,"КУКЛА 29СМ С КРЫЛЬЯМИ","КУКЛА 29СМ С КРЫЛЬЯМИ, С АКСЕСС.",1,visible,1,1,198,26,14,5,1,http://img.simba-trade.ru/site1/247897_c.jpg,"Куклы","",пол,"Для девочек"
247900,simple,"НАБОР ИЗ 2-Х КУКОЛ 29СМ С АКСЕСС.","НАБОР ИЗ 2-Х КУКОЛ 29СМ С АКСЕСС.",1,visible,1,1,97,33,13,4,1,http://img.simba-trade.ru/site1/247900_c.jpg,"Куклы","",пол,"Для девочек"
247956,simple,"ЖЕЛЕЗНАЯ ДОРОГА С ДЫМОМ V8088","ЖЕЛЕЗНАЯ ДОРОГА С ДЫМОМ V8088",1,visible,1,1,839,7,56,36,1,http://img.simba-trade.ru/site1/247956_c.jpg,"Железные дороги","На батарейках",пол,"Для мальчиков"
247957,simple,"ВЕРТОЛЕТ, USB З/У M5","ВЕРТОЛЕТ, USB З/У M5",1,visible,1,1,1564,19,48,9,1,http://img.simba-trade.ru/site1/247957_c.jpg,"Вертолеты","Радиоуправляемые, Со светом",пол,"Для мальчиков"
247960,simple,"ПИСТОЛЕТ ОЗВУЧ., С МЯГК","ПИСТОЛЕТ ОЗВУЧ., С МЯГКИМИ ПУЛЯМИ XMY7024",1,visible,1,1,1405,13,50,25,1,http://img.simba-trade.ru/site1/247960_c.jpg,"Оружие","На батарейках",пол,"Для мальчиков"
247962,simple,"МАШИНА 1630-3A","МАШИНА 1630-3A",1,visible,1,1,874,20,35,18,1,http://img.simba-trade.ru/site1/247962_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
247963,simple,"МАШИНА, ОТКРЫВ. ДВЕРИ","МАШИНА, ОТКРЫВ. ДВЕРИ",1,visible,1,1,1410,23,44,21,1,http://img.simba-trade.ru/site1/247963_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
247993,simple,"МАШИНА","МАШИНА",1,visible,1,1,1024,19,42,13,1,http://img.simba-trade.ru/site1/247993_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
211727,simple,"МАШИНА СТРОИТ. ТЕХНИКА","МАШИНА СТРОИТ. ТЕХНИКА",1,visible,1,1,1159,21,38,13,1,http://img.simba-trade.ru/site1/211727_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
247532,simple,"МАШИНА","МАШИНА  688-4",1,visible,1,1,278,9,17,11,1,http://img.simba-trade.ru/site1/247532_c.jpg,"Машинки","На батарейках, Со светом, Со звуком",пол,"Для мальчиков"
247835,simple,"ПУПС ФУНКЦ.","ПУПС ФУНКЦ., ПЬЕТ И ПИСАЕТ, С АКСЕСС.",1,visible,1,1,527,12,22,25,1,http://img.simba-trade.ru/site1/247835_c.jpg,"Куклы","",пол,"Для девочек"
247895,simple,"МАШИНА","МАШИНА",1,visible,1,1,858,16,26,17,1,http://img.simba-trade.ru/site1/247895_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
247959,simple,"ПИСТОЛЕТ С ЛАЗЕР. ПРИЦЕЛОМ","ПИСТОЛЕТ С ЛАЗЕР. ПРИЦЕЛОМ, С МЯГКИМИ ПУЛЯМИ НА ПРИСОСКАХ",1,visible,1,1,403,20,34,6,1,http://img.simba-trade.ru/site1/247959_c.jpg,"Оружие","",пол,"Для мальчиков"
247961,simple,"ТРЕК ГОНОЧНЫЙ С МАШИНКАМИ 589-40A","ТРЕК ГОНОЧНЫЙ С МАШИНКАМИ 589-40A",1,visible,1,1,906,5,61,44,1,http://img.simba-trade.ru/site1/247961_c.jpg,"Машинки","На батарейках",пол,"Для мальчиков"
248003,simple,"МАШИНА-АКУЛА","МАШИНА-АКУЛА KD-8815C",1,visible,1,1,278,19,21,11,1,http://img.simba-trade.ru/site1/248003_c.jpg,"Машинки","",пол,"Для мальчиков"
229327,simple,"РОБОТ-МАШИНА","РОБОТ-МАШИНА С АКСЕСС. L015-19",1,visible,1,1,461,10,28,29,1,http://img.simba-trade.ru/site1/229327_c.jpg,"Машинки","",пол,"Для мальчиков"
242880,simple,"ИГРОВОЙ НАБОР КУХНЯ, С АКСЕСС. 008-2","ИГРОВОЙ НАБОР КУХНЯ, С АКСЕСС. 008-26",1,visible,1,1,1484,9,60,44,1,http://img.simba-trade.ru/site1/242880_c.jpg,"Другое","На батарейках, Со светом, Со звуком",пол,"Для девочек"
228241,simple,"ИГРА","ИГРА НАСТОЛЬНАЯ ХОККЕЙ 662",1,visible,1,1,581,6,52,29,1,http://img.simba-trade.ru/site1/228241_c.jpg,"Настольные игры","",пол,"Для девочек, Для мальчиков"
247892,simple,"ТАНК","ТАНК  5892-A/5893-A",1,visible,1,1,792,17,30,16,1,http://img.simba-trade.ru/site1/247892_c.jpg,"Танки","Радиоуправляемые, На аккумуляторах, Со светом, Со звуком",пол,"Для мальчиков"
236359,simple,"ПАРКОВКА ДЛЯ ПОЛИЦИИ","ПАРКОВКА ДЛЯ ПОЛИЦИИ, С МАШИНКАМИ И АКСЕСС. Y313",1,visible,1,1,667,31,52,8,1,http://img.simba-trade.ru/site1/236359_c.jpg,"Машинки","Со светом, Со звуком",пол,"Для мальчиков"
237830,simple,"НАБОР ПОСУДЫ И ПРОДУКТОВ","НАБОР ПОСУДЫ И ПРОДУКТОВ",1,visible,1,1,168,6,34,43,1,http://img.simba-trade.ru/site1/237830_c.jpg,"Другое","",пол,"Для девочек"
247992,simple,"ИГРА","ИГРА НАСТОЛЬНАЯ ФУТБОЛ 08-09G",1,visible,1,1,337,7,34,34,1,http://img.simba-trade.ru/site1/247992_c.jpg,"Настольные игры","",пол,"Для мальчиков"
228829,simple,"МАШИНА ПОЛИЦИЯ","МАШИНА ПОЛИЦИЯ",1,visible,1,1,751,17,34,17,1,http://img.simba-trade.ru/site1/228829_c.jpg,"Машинки","Радиоуправляемые, Со светом",пол,"Для мальчиков"
247890,simple,"ДЖИП СПОРТ 'ТРОФИ', ОТКРЫВ. ДВЕРИ 9019","ДЖИП СПОРТ 'ТРОФИ', ОТКРЫВ. ДВЕРИ 9019",1,visible,1,1,2273,25,53,24,1,http://img.simba-trade.ru/site1/247890_c.jpg,"Машинки, Джипы","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
238251,simple,"ВНЕДОРОЖНИК","ВНЕДОРОЖНИК",1,visible,1,1,1234,20,36,18,1,http://img.simba-trade.ru/site1/238251_c.jpg,"Другое","Радиоуправляемые, На аккумуляторах",пол,"Для мальчиков"
246715,simple,"ПАРКОВКА ПОЖАРНАЯ СТАНЦИЯ С МАШИНКАМИ И ВЕРТОЛЕТОМ","ПАРКОВКА ПОЖАРНАЯ СТАНЦИЯ С МАШИНКАМИ И ВЕРТОЛЕТОМ, 660-A34",1,visible,1,1,719,7,40,30,1,http://img.simba-trade.ru/site1/246715_c.jpg,"Машинки","",пол,"Для мальчиков"
247840,simple,"НАБОР ПОСУДЫ","НАБОР ПОСУДЫ",1,visible,1,1,233,6,28,20,1,http://img.simba-trade.ru/site1/247840_c.jpg,"Другое","",пол,"Для девочек"
205216,simple,"ДРЕЛЬ СО ЗВУКОМ, С НАСА","ДРЕЛЬ СО ЗВУКОМ, С НАСАДКАМИ",1,visible,1,1,249,8,24,22,1,http://img.simba-trade.ru/site1/205216_c.jpg,"Другое","На батарейках",пол,"Для мальчиков"
204549,simple,"КРОВАТКА ДЛЯ КУКОЛ","КРОВАТКА ДЛЯ КУКОЛ, С ПУПСОМ И АКСЕСС. 525-E",1,visible,1,1,403,7,29,23,1,http://img.simba-trade.ru/site1/204549_c.jpg,"Куклы","",пол,"Для девочек"
242555,simple,"ТРАКТОР 5288-4","ТРАКТОР 5288-4",1,visible,1,1,1020,13,38,28,1,http://img.simba-trade.ru/site1/242555_c.jpg,"Машинки","Радиоуправляемые",пол,"Для мальчиков"
245132,simple,"МАШИНА","МАШИНА",1,visible,1,2,338,11,22,8,1,http://img.simba-trade.ru/site1/245132_c.jpg,"Машинки","Радиоуправляемые",пол,"Для мальчиков"
247859,simple,"МАШИНА","МАШИНА",1,visible,1,1,742,14,25,17,1,http://img.simba-trade.ru/site1/247859_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
247889,simple,"МАШИНА","МАШИНА",1,visible,1,1,234,5,20,29,1,http://img.simba-trade.ru/site1/247889_c.jpg,"Машинки","Радиоуправляемые",пол,"Для мальчиков"
247857,simple,"МАШИНА ","МАШИНА ",1,visible,1,1,903,17,34,17,1,http://img.simba-trade.ru/site1/247857_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом, Со звуком",пол,"Для мальчиков"
197167,simple,"РОБОТ 'ИГРАЕМ ВМЕСТЕ', РУССИФИЦ., ","РОБОТ 'ИГРАЕМ ВМЕСТЕ', РУССИФИЦ., И/К ПУЛЬТ 28085",1,visible,1,1,1259,16,23,32,1,http://img.simba-trade.ru/site1/197167_c.jpg,"Роботы","Радиоуправляемые, Со светом, Со звуком",пол,"Для мальчиков"
247873,simple,"МАШИНА","МАШИНА САМОСВАЛ В 912",1,visible,1,1,424,10,29,17,1,http://img.simba-trade.ru/site1/247873_c.jpg,"Машинки","Радиоуправляемые",пол,"Для мальчиков"
247328,simple,"МАШИНА","МАШИНА",1,visible,1,1,489,11,25,14,1,http://img.simba-trade.ru/site1/247328_c.jpg,"Машинки","Радиоуправляемые",пол,"Для мальчиков"
234021,simple,"МАШИНА","МАШИНА",1,visible,1,1,4115,12,33,14,1,http://img.simba-trade.ru/site1/234021_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
224041,simple,"МАШИНА ДЖИП НА АККУМ","МАШИНА ДЖИП НА АККУМ",1,visible,1,1,1029,17,32,17,1,http://img.simba-trade.ru/site1/224041_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
233830,simple,"МАШИНА ","МАШИНА ",1,visible,1,1,1251,17,45,19,1,http://img.simba-trade.ru/site1/233830_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом, Со звуком",пол,"Для мальчиков"
193807,simple,"МАШИНА 'ТЕХНОПАРК' УАЗ HUNTER ДПС 1:24, ","МАШИНА 'ТЕХНОПАРК' УАЗ HUNTER ДПС 1:24, ОТКРЫВ. ДВЕРИ",1,visible,1,1,983,13,28,13,1,http://img.simba-trade.ru/site1/193807_c.jpg,"Машинки","Радиоуправляемые, Со светом, Со звуком",пол,"Для мальчиков"
247842,simple,"МАШИНА ДЖИП","МАШИНА ДЖИП",1,visible,1,1,638,15,26,15,1,http://img.simba-trade.ru/site1/247842_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах",пол,"Для мальчиков"
247828,simple,"МАШИНА","МАШИНА",1,visible,1,1,728,18,34,18,1,http://img.simba-trade.ru/site1/247828_c.jpg,"Машинки","Радиоуправляемые, Со светом",пол,"Для мальчиков"
247829,simple,"ДЖИП 'BUGATI', БЕЛЫЙ, ","ДЖИП 'BUGATI', БЕЛЫЙ, 100*61*51СМ, 6V4.5AH*2, 25W*2, 3КМ/ЧАС ДО 30КГ",1,visible,1,1,11677,51,100,61,1,http://img.simba-trade.ru/site1/247829_c.jpg,"Машинки, Джипы","Радиоуправляемые, На аккумуляторах",пол,"Для мальчиков"
229289,simple,"КВАДРОКОПТЕР, С USB ЗАРЯД","КВАДРОКОПТЕР, С USB ЗАРЯДКОЙ HX753",1,visible,1,4,6833,5,20,13,1,http://img.simba-trade.ru/site1/229289_c.jpg,"Вертолеты, квадрокоптеры","Радиоуправляемые, Со светом, Со звуком",пол,"Для мальчиков"
233442,simple,"МАШИНА","МАШИНА",1,visible,1,2,1655,17,43,19,1,http://img.simba-trade.ru/site1/233442_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
247472,simple,"РОБОТ-ДЖИП","РОБОТ-ДЖИП  9808-BB9",1,visible,1,1,3064,23,34,25,1,http://img.simba-trade.ru/site1/247472_c.jpg,"Машинки, Джипы","Радиоуправляемые, На аккумуляторах, Со светом, Со звуком",пол,"Для мальчиков"
247535,simple,"ЖЕЛЕЗНАЯ ДОРОГА С ДЫМОМ, ДЛИН","ЖЕЛЕЗНАЯ ДОРОГА С ДЫМОМ, ДЛИНА ПОЛОТНА 340СМ 78",1,visible,1,1,998,8,43,31,1,http://img.simba-trade.ru/site1/247535_c.jpg,"Железные дороги","На батарейках, Со светом, Со звуком",пол,"Для мальчиков"
226584,simple,"МАШИНА ","МАШИНА ",1,visible,1,1,1984,7,8,26,1,http://img.simba-trade.ru/site1/226584_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом, Со звуком",пол,"Для мальчиков"
231654,simple,"ДЖИП","ДЖИП СПОРТ. 625-3",1,visible,1,2,1577,17,32,18,1,http://img.simba-trade.ru/site1/231654_c.jpg,"Машинки, Джипы","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
247372,simple,"ДЖИП","ДЖИП",1,visible,1,1,26875,34,74,34,1,http://img.simba-trade.ru/site1/247372_c.jpg,"Машинки, Джипы","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
247401,simple,"МАШИНА ПОЛИЦИЯ, ","МАШИНА ПОЛИЦИЯ, ",1,visible,1,1,851,12,33,13,1,http://img.simba-trade.ru/site1/247401_c.jpg,"Машинки","Радиоуправляемые, Со светом, Со звуком",пол,"Для мальчиков"
247083,simple,"ТАНК","ТАНК  369-5",1,visible,1,1,980,13,34,14,1,http://img.simba-trade.ru/site1/247083_c.jpg,"Танки","Радиоуправляемые, На аккумуляторах, Со светом, Со звуком",пол,"Для мальчиков"
235053,simple,"МАШИНА","МАШИНА",1,visible,1,1,1145,16,39,19,1,http://img.simba-trade.ru/site1/235053_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
247086,simple,"МАШИНА НА АККУМ,","МАШИНА НА АККУМ,",1,visible,1,1,1029,12,35,16,1,http://img.simba-trade.ru/site1/247086_c.jpg,"Машинки","Радиоуправляемые, На аккумуляторах, Со светом",пол,"Для мальчиков"
243033,simple,"МАШИНА","МАШИНА",1,visible,1,1,501,9,25,12,1,http://img.simba-trade.ru/site1/243033_c.jpg,"Машинки","Радиоуправляемые",пол,"Для мальчиков"
242310,simple,"МАШИНА","МАШИНА",1,visible,1,1,1071,14,29,12,1,http://img.simba-trade.ru/site1/242310_c.jpg,"Машинки","Радиоуправляемые, Со светом",пол,"Для мальчиков"
